Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Total_Acessos,Porcentaje_ADSL,Porcentaje_Cablemodem,Porcentaje_Fibra óptica,Porcentaje_Wireless,Porcentaje_Otros,Accesos trimestre anterior
2019,4,Buenos Aires,720011.0,2191672.0,669194.0,87111.0,18266.0,3686254.0,3686254.0,19.53%,59.46%,18.15%,2.36%,0.50%,425386.0
2020,1,Buenos Aires,673237.0,2210349.0,720688.0,85443.0,18334.0,3708051.0,3708051.0,18.16%,59.61%,19.44%,2.30%,0.49%,669194.0
2020,2,Buenos Aires,661272.0,2244277.0,723072.0,91736.0,57189.0,3777546.0,3777546.0,17.51%,59.41%,19.14%,2.43%,1.51%,720688.0
2020,3,Buenos Aires,653930.0,2384557.0,749087.0,94162.0,55541.0,3937277.0,3937277.0,16.61%,60.56%,19.03%,2.39%,1.41%,723072.0
2020,4,Buenos Aires,635651.0,2441248.0,804991.0,93444.0,57927.0,4033261.0,4033261.0,15.76%,60.53%,19.96%,2.32%,1.44%,749087.0
2021,1,Buenos Aires,629679.0,2452056.0,821597.0,98806.0,57864.0,4060002.0,4060002.0,15.51%,60.40%,20.24%,2.43%,1.43%,804991.0
2021,2,Buenos Aires,603255.0,2503830.0,854173.0,113546.0,57547.0,4132351.0,4132351.0,14.60%,60.59%,20.67%,2.75%,1.39%,821597.0
2021,3,Buenos Aires,585729.0,2595485.0,885613.0,120228.0,64554.0,4251609.0,4251609.0,13.78%,61.05%,20.83%,2.83%,1.52%,854173.0
2021,4,Buenos Aires,426325.0,2706506.0,1176024.0,126887.0,73415.0,4509157.0,4509157.0,9.45%,60.02%,26.08%,2.81%,1.63%,885613.0
2022,1,Buenos Aires,392045.0,2728865.0,1242121.0,125521.0,66872.0,4555424.0,4555424.0,8.61%,59.90%,27.27%,2.76%,1.47%,1176024.0
2022,2,Buenos Aires,350652.0,2719613.0,1399043.0,126847.0,71028.0,4667183.0,4667183.0,7.51%,58.27%,29.98%,2.72%,1.52%,1242121.0
2022,3,Buenos Aires,339648.0,2748325.0,1436433.0,126846.0,70416.0,4721668.0,4721668.0,7.19%,58.21%,30.42%,2.69%,1.49%,1399043.0
2022,4,Buenos Aires,325908.0,2767247.0,1499149.0,129910.0,72451.0,4794665.0,4794665.0,6.80%,57.72%,31.27%,2.71%,1.51%,1436433.0
2023,1,Buenos Aires,304583.0,2761043.0,1551074.0,132458.0,71770.0,4820928.0,4820928.0,6.32%,57.27%,32.17%,2.75%,1.49%,1499149.0
2023,2,Buenos Aires,265537.0,2766463.0,1645945.0,138405.0,69138.0,4885488.0,4885488.0,5.44%,56.63%,33.69%,2.83%,1.42%,1551074.0
2023,3,Buenos Aires,237705.0,2784175.0,1740239.0,137921.0,68197.0,4968237.0,4968237.0,4.78%,56.04%,35.03%,2.78%,1.37%,1645945.0
2023,4,Buenos Aires,223391.0,2797700.0,1784593.0,137993.0,67943.0,5011620.0,5011620.0,4.46%,55.82%,35.61%,2.75%,1.36%,1740239.0
2014,1,Capital Federal,445569.0,820161.0,17767.0,1866.0,14555.0,1299918.0,1299918.0,34.28%,63.09%,1.37%,0.14%,1.12%,
2014,2,Capital Federal,447637.0,828411.0,17729.0,1883.0,14555.0,1310215.0,1310215.0,34.17%,63.23%,1.35%,0.14%,1.11%,17767.0
2014,3,Capital Federal,450155.0,833402.0,17886.0,1995.0,14387.0,1317825.0,1317825.0,34.16%,63.24%,1.36%,0.15%,1.09%,17729.0
2014,4,Capital Federal,455785.0,840224.0,17155.0,1962.0,15394.0,1330520.0,1330520.0,34.26%,63.15%,1.29%,0.15%,1.16%,17886.0
2015,1,Capital Federal,454934.0,841743.0,19334.0,1994.0,14716.0,1332721.0,1332721.0,34.14%,63.16%,1.45%,0.15%,1.10%,17155.0
2015,2,Capital Federal,453178.0,858342.0,19786.0,2172.0,12806.0,1346284.0,1346284.0,33.66%,63.76%,1.47%,0.16%,0.95%,19334.0
2015,3,Capital Federal,454815.0,871262.0,30974.0,2229.0,12788.0,1372068.0,1372068.0,33.15%,63.50%,2.26%,0.16%,0.93%,19786.0
2015,4,Capital Federal,455427.0,879950.0,19818.0,2273.0,12758.0,1370226.0,1370226.0,33.24%,64.22%,1.45%,0.17%,0.93%,30974.0
2016,1,Capital Federal,454425.0,832126.0,36332.0,2284.0,12729.0,1337896.0,1337896.0,33.97%,62.20%,2.72%,0.17%,0.95%,19818.0
2016,2,Capital Federal,450644.0,892209.0,36669.0,2390.0,12672.0,1394584.0,1394584.0,32.31%,63.98%,2.63%,0.17%,0.91%,36332.0
2016,3,Capital Federal,447726.0,905105.0,36796.0,2514.0,10963.0,1403104.0,1403104.0,31.91%,64.51%,2.62%,0.18%,0.78%,36669.0
2016,4,Capital Federal,434835.0,914952.0,38161.0,2583.0,10928.0,1401459.0,1401459.0,31.03%,65.29%,2.72%,0.18%,0.78%,36796.0
2017,1,Capital Federal,428801.0,918328.0,38259.0,2730.0,10928.0,1399046.0,1399046.0,30.65%,65.64%,2.73%,0.20%,0.78%,38161.0
2017,2,Capital Federal,615262.0,932466.0,38628.0,2819.0,11016.0,1600191.0,1600191.0,38.45%,58.27%,2.41%,0.18%,0.69%,38259.0
2017,3,Capital Federal,583249.0,941092.0,33481.0,2814.0,9723.0,1570359.0,1570359.0,37.14%,59.93%,2.13%,0.18%,0.62%,38628.0
2017,4,Capital Federal,571363.0,961688.0,36277.0,3119.0,9877.0,1582324.0,1582324.0,36.11%,60.78%,2.29%,0.20%,0.62%,33481.0
2018,1,Capital Federal,349995.0,968483.0,35535.0,3164.0,9393.0,1366570.0,1366570.0,25.61%,70.87%,2.60%,0.23%,0.69%,36277.0
2018,2,Capital Federal,342431.0,977916.0,35610.0,3908.0,9321.0,1369186.0,1369186.0,25.01%,71.42%,2.60%,0.29%,0.68%,35535.0
2018,3,Capital Federal,334353.0,1009252.0,35694.0,3872.0,9319.0,1392490.0,1392490.0,24.01%,72.48%,2.56%,0.28%,0.67%,35610.0
2018,4,Capital Federal,328253.0,1019490.0,33042.0,3978.0,4257.0,1389020.0,1389020.0,23.63%,73.40%,2.38%,0.29%,0.31%,35694.0
2019,1,Capital Federal,328246.0,1030814.0,32281.0,3978.0,4281.0,1399600.0,1399600.0,23.45%,73.65%,2.31%,0.28%,0.31%,33042.0
2019,2,Capital Federal,309937.0,1061358.0,36082.0,3962.0,4281.0,1415620.0,1415620.0,21.89%,74.97%,2.55%,0.28%,0.30%,32281.0
2019,3,Capital Federal,300288.0,1080973.0,24900.0,3895.0,31155.0,1441211.0,1441211.0,20.84%,75.00%,1.73%,0.27%,2.16%,36082.0
2019,4,Capital Federal,196938.0,1093143.0,35534.0,3914.0,28576.0,1358105.0,1358105.0,14.50%,80.49%,2.62%,0.29%,2.10%,24900.0
2020,1,Capital Federal,184494.0,1097635.0,38898.0,3911.0,28556.0,1353494.0,1353494.0,13.63%,81.10%,2.87%,0.29%,2.11%,35534.0
2020,2,Capital Federal,178896.0,1106133.0,39482.0,3937.0,29373.0,1357821.0,1357821.0,13.18%,81.46%,2.91%,0.29%,2.16%,38898.0
2020,3,Capital Federal,170375.0,1129573.0,39417.0,3936.0,29374.0,1372675.0,1372675.0,12.41%,82.29%,2.87%,0.29%,2.14%,39482.0
2020,4,Capital Federal,163060.0,1142528.0,39890.0,4815.0,29237.0,1379530.0,1379530.0,11.82%,82.82%,2.89%,0.35%,2.12%,39417.0
2021,1,Capital Federal,159805.0,1145093.0,39980.0,5559.0,29236.0,1379673.0,1379673.0,11.58%,83.00%,2.90%,0.40%,2.12%,39890.0
2021,2,Capital Federal,148989.0,1175097.0,41318.0,5580.0,29371.0,1400355.0,1400355.0,10.64%,83.91%,2.95%,0.40%,2.10%,39980.0
2021,3,Capital Federal,142902.0,1192107.0,42966.0,6059.0,29371.0,1413405.0,1413405.0,10.11%,84.34%,3.04%,0.43%,2.08%,41318.0
2021,4,Capital Federal,111360.0,1205128.0,60005.0,5679.0,29947.0,1412119.0,1412119.0,7.89%,85.34%,4.25%,0.40%,2.12%,42966.0
2022,1,Capital Federal,102290.0,1217225.0,62308.0,5784.0,29934.0,1417541.0,1417541.0,7.22%,85.87%,4.40%,0.41%,2.11%,60005.0
2022,2,Capital Federal,145491.0,1232226.0,121506.0,5757.0,31791.0,1536771.0,1536771.0,9.47%,80.18%,7.91%,0.37%,2.07%,62308.0
2022,3,Capital Federal,140791.0,1240125.0,129218.0,5758.0,31787.0,1547679.0,1547679.0,9.10%,80.13%,8.35%,0.37%,2.05%,121506.0
2022,4,Capital Federal,138753.0,1238196.0,138548.0,4603.0,31826.0,1551926.0,1551926.0,8.94%,79.78%,8.93%,0.30%,2.05%,129218.0
2023,1,Capital Federal,132149.0,1223930.0,156222.0,4605.0,31823.0,1548729.0,1548729.0,8.53%,79.03%,10.09%,0.30%,2.05%,138548.0
2023,2,Capital Federal,68348.0,1218631.0,136295.0,4504.0,29900.0,1457678.0,1457678.0,4.69%,83.60%,9.35%,0.31%,2.05%,156222.0
2023,3,Capital Federal,60765.0,1205339.0,167428.0,4629.0,29823.0,1467984.0,1467984.0,4.14%,82.11%,11.41%,0.32%,2.03%,136295.0
2023,4,Capital Federal,58700.0,1198835.0,182520.0,4492.0,29820.0,1474367.0,1474367.0,3.98%,81.31%,12.38%,0.30%,2.02%,167428.0
2014,1,Catamarca,24126.0,46.0,17.0,0.0,43.0,24232.0,24232.0,99.56%,0.19%,0.07%,0.00%,0.18%,
2014,2,Catamarca,24380.0,243.0,17.0,0.0,43.0,24683.0,24683.0,98.77%,0.98%,0.07%,0.00%,0.17%,17.0
2014,3,Catamarca,24380.0,244.0,15.0,0.0,47.0,24686.0,24686.0,98.76%,0.99%,0.06%,0.00%,0.19%,17.0
2014,4,Catamarca,25192.0,241.0,16.0,0.0,44.0,25493.0,25493.0,98.82%,0.95%,0.06%,0.00%,0.17%,15.0
2015,1,Catamarca,25033.0,241.0,16.0,1.0,41.0,25332.0,25332.0,98.82%,0.95%,0.06%,0.00%,0.16%,16.0
2015,2,Catamarca,25387.0,242.0,15.0,1.0,34.0,25679.0,25679.0,98.86%,0.94%,0.06%,0.00%,0.13%,16.0
2015,3,Catamarca,25801.0,242.0,15.0,1.0,34.0,26093.0,26093.0,98.88%,0.93%,0.06%,0.00%,0.13%,15.0
2015,4,Catamarca,26180.0,242.0,15.0,1.0,34.0,26472.0,26472.0,98.90%,0.91%,0.06%,0.00%,0.13%,15.0
2016,1,Catamarca,26096.0,243.0,15.0,1.0,34.0,26389.0,26389.0,98.89%,0.92%,0.06%,0.00%,0.13%,15.0
2016,2,Catamarca,26262.0,245.0,14.0,1.0,34.0,26556.0,26556.0,98.89%,0.92%,0.05%,0.00%,0.13%,15.0
2016,3,Catamarca,26689.0,248.0,14.0,1.0,18.0,26970.0,26970.0,98.96%,0.92%,0.05%,0.00%,0.07%,14.0
2016,4,Catamarca,26735.0,250.0,14.0,1.0,34.0,27034.0,27034.0,98.89%,0.92%,0.05%,0.00%,0.13%,14.0
2017,1,Catamarca,26020.0,248.0,14.0,1.0,34.0,26317.0,26317.0,98.87%,0.94%,0.05%,0.00%,0.13%,14.0
2017,2,Catamarca,26401.0,255.0,14.0,1.0,34.0,26705.0,26705.0,98.86%,0.95%,0.05%,0.00%,0.13%,14.0
2017,3,Catamarca,26873.0,4411.0,12.0,1.0,2181.0,33478.0,33478.0,80.27%,13.18%,0.04%,0.00%,6.51%,14.0
2017,4,Catamarca,27083.0,263.0,11.0,1.0,2200.0,29558.0,29558.0,91.63%,0.89%,0.04%,0.00%,7.44%,12.0
2018,1,Catamarca,27300.0,4415.0,15.0,1.0,2214.0,33945.0,33945.0,80.42%,13.01%,0.04%,0.00%,6.52%,11.0
2018,2,Catamarca,27444.0,4415.0,15.0,1.0,2214.0,34089.0,34089.0,80.51%,12.95%,0.04%,0.00%,6.49%,15.0
2018,3,Catamarca,27553.0,4443.0,15.0,1.0,2214.0,34226.0,34226.0,80.50%,12.98%,0.04%,0.00%,6.47%,15.0
2018,4,Catamarca,26912.0,4443.0,16.0,0.0,2212.0,33583.0,33583.0,80.14%,13.23%,0.05%,0.00%,6.59%,15.0
2019,1,Catamarca,26912.0,4443.0,16.0,0.0,2251.0,33622.0,33622.0,80.04%,13.21%,0.05%,0.00%,6.70%,16.0
2019,2,Catamarca,25682.0,5543.0,13.0,146.0,2251.0,33635.0,33635.0,76.35%,16.48%,0.04%,0.43%,6.69%,16.0
2019,3,Catamarca,24349.0,5543.0,13.0,244.0,2251.0,32400.0,32400.0,75.15%,17.11%,0.04%,0.75%,6.95%,13.0
2019,4,Catamarca,22999.0,3318.0,9506.0,261.0,2227.0,38311.0,38311.0,60.03%,8.66%,24.81%,0.68%,5.81%,13.0
2020,1,Catamarca,21945.0,3146.0,12056.0,261.0,2227.0,39635.0,39635.0,55.37%,7.94%,30.42%,0.66%,5.62%,9506.0
2020,2,Catamarca,26968.0,3641.0,14878.0,261.0,2228.0,47976.0,47976.0,56.21%,7.59%,31.01%,0.54%,4.64%,12056.0
2020,3,Catamarca,26868.0,3690.0,16857.0,261.0,2228.0,49904.0,49904.0,53.84%,7.39%,33.78%,0.52%,4.46%,14878.0
2020,4,Catamarca,26870.0,5115.0,17856.0,322.0,2233.0,52396.0,52396.0,51.28%,9.76%,34.08%,0.61%,4.26%,16857.0
2021,1,Catamarca,26316.0,4409.0,18688.0,322.0,2233.0,51968.0,51968.0,50.64%,8.48%,35.96%,0.62%,4.30%,17856.0
2021,2,Catamarca,20305.0,9426.0,22331.0,1449.0,2233.0,55744.0,55744.0,36.43%,16.91%,40.06%,2.60%,4.01%,18688.0
2021,3,Catamarca,18413.0,11709.0,22331.0,1568.0,2233.0,56254.0,56254.0,32.73%,20.81%,39.70%,2.79%,3.97%,22331.0
2021,4,Catamarca,16385.0,13858.0,25100.0,1512.0,2235.0,59090.0,59090.0,27.73%,23.45%,42.48%,2.56%,3.78%,22331.0
2022,1,Catamarca,14181.0,15517.0,29118.0,1328.0,2234.0,62378.0,62378.0,22.73%,24.88%,46.68%,2.13%,3.58%,25100.0
2022,2,Catamarca,11928.0,9430.0,42087.0,1329.0,2234.0,67008.0,67008.0,17.80%,14.07%,62.81%,1.98%,3.33%,29118.0
2022,3,Catamarca,10010.0,10495.0,46224.0,1329.0,2235.0,70293.0,70293.0,14.24%,14.93%,65.76%,1.89%,3.18%,42087.0
2022,4,Catamarca,8952.0,10998.0,47337.0,1379.0,2243.0,70909.0,70909.0,12.62%,15.51%,66.76%,1.94%,3.16%,46224.0
2023,1,Catamarca,6980.0,10655.0,50230.0,1384.0,2243.0,71492.0,71492.0,9.76%,14.90%,70.26%,1.94%,3.14%,47337.0
2023,2,Catamarca,7637.0,10700.0,53177.0,1384.0,92.0,72990.0,72990.0,10.46%,14.66%,72.86%,1.90%,0.13%,50230.0
2023,3,Catamarca,7164.0,11066.0,54650.0,1384.0,91.0,74355.0,74355.0,9.63%,14.88%,73.50%,1.86%,0.12%,53177.0
2023,4,Catamarca,6669.0,11016.0,55437.0,1384.0,81.0,74587.0,74587.0,8.94%,14.77%,74.33%,1.86%,0.11%,54650.0
2014,1,Chaco,52971.0,9497.0,30.0,0.0,58.0,62556.0,62556.0,84.68%,15.18%,0.05%,0.00%,0.09%,
2014,2,Chaco,53321.0,9870.0,30.0,0.0,58.0,63279.0,63279.0,84.26%,15.60%,0.05%,0.00%,0.09%,30.0
2014,3,Chaco,53321.0,10336.0,29.0,1.0,59.0,63746.0,63746.0,83.65%,16.21%,0.05%,0.00%,0.09%,30.0
2014,4,Chaco,55024.0,10918.0,31.0,0.0,62.0,66035.0,66035.0,83.33%,16.53%,0.05%,0.00%,0.09%,29.0
2015,1,Chaco,54952.0,26161.0,164.0,27.0,56.0,81360.0,81360.0,67.54%,32.15%,0.20%,0.03%,0.07%,31.0
2015,2,Chaco,55767.0,27809.0,179.0,52.0,41.0,83848.0,83848.0,66.51%,33.17%,0.21%,0.06%,0.05%,164.0
2015,3,Chaco,56282.0,28809.0,186.0,52.0,41.0,85370.0,85370.0,65.93%,33.75%,0.22%,0.06%,0.05%,179.0
2015,4,Chaco,56818.0,29456.0,186.0,52.0,41.0,86553.0,86553.0,65.65%,34.03%,0.21%,0.06%,0.05%,186.0
2016,1,Chaco,56353.0,29994.0,211.0,52.0,41.0,86651.0,86651.0,65.03%,34.61%,0.24%,0.06%,0.05%,186.0
2016,2,Chaco,56112.0,31825.0,221.0,52.0,41.0,88251.0,88251.0,63.58%,36.06%,0.25%,0.06%,0.05%,211.0
2016,3,Chaco,56251.0,32730.0,232.0,2.0,15.0,89230.0,89230.0,63.04%,36.68%,0.26%,0.00%,0.02%,221.0
2016,4,Chaco,54974.0,33534.0,248.0,52.0,39.0,88847.0,88847.0,61.87%,37.74%,0.28%,0.06%,0.04%,232.0
2017,1,Chaco,54430.0,34277.0,252.0,52.0,39.0,89050.0,89050.0,61.12%,38.49%,0.28%,0.06%,0.04%,248.0
2017,2,Chaco,54449.0,35613.0,458.0,52.0,39.0,90611.0,90611.0,60.09%,39.30%,0.51%,0.06%,0.04%,252.0
2017,3,Chaco,54888.0,37307.0,456.0,36.0,1072.0,93759.0,93759.0,58.54%,39.79%,0.49%,0.04%,1.14%,458.0
2017,4,Chaco,55035.0,39690.0,389.0,380.0,1121.0,96615.0,96615.0,56.96%,41.08%,0.40%,0.39%,1.16%,456.0
2018,1,Chaco,54879.0,40157.0,383.0,388.0,1130.0,96937.0,96937.0,56.61%,41.43%,0.40%,0.40%,1.17%,389.0
2018,2,Chaco,54134.0,40750.0,562.0,1946.0,1129.0,98521.0,98521.0,54.95%,41.36%,0.57%,1.98%,1.15%,383.0
2018,3,Chaco,53927.0,42359.0,1990.0,2628.0,1129.0,102033.0,102033.0,52.85%,41.52%,1.95%,2.58%,1.11%,562.0
2018,4,Chaco,53409.0,43555.0,1940.0,3236.0,1130.0,103270.0,103270.0,51.72%,42.18%,1.88%,3.13%,1.09%,1990.0
2019,1,Chaco,53409.0,43555.0,1951.0,3628.0,1134.0,103677.0,103677.0,51.51%,42.01%,1.88%,3.50%,1.09%,1940.0
2019,2,Chaco,50765.0,47448.0,4203.0,4727.0,1591.0,108734.0,108734.0,46.69%,43.64%,3.87%,4.35%,1.46%,1951.0
2019,3,Chaco,50416.0,49156.0,8063.0,5224.0,1592.0,114451.0,114451.0,44.05%,42.95%,7.04%,4.56%,1.39%,4203.0
2019,4,Chaco,48661.0,53602.0,8831.0,5229.0,1580.0,117903.0,117903.0,41.27%,45.46%,7.49%,4.44%,1.34%,8063.0
2020,1,Chaco,46356.0,54144.0,11958.0,6239.0,1580.0,120277.0,120277.0,38.54%,45.02%,9.94%,5.19%,1.31%,8831.0
2020,2,Chaco,46816.0,56017.0,17266.0,6452.0,1581.0,128132.0,128132.0,36.54%,43.72%,13.48%,5.04%,1.23%,11958.0
2020,3,Chaco,45745.0,58825.0,20675.0,6706.0,2003.0,133954.0,133954.0,34.15%,43.91%,15.43%,5.01%,1.50%,17266.0
2020,4,Chaco,44332.0,61200.0,23687.0,7997.0,1875.0,139091.0,139091.0,31.87%,44.00%,17.03%,5.75%,1.35%,20675.0
2021,1,Chaco,43214.0,61251.0,25426.0,8004.0,1875.0,139770.0,139770.0,30.92%,43.82%,18.19%,5.73%,1.34%,23687.0
2021,2,Chaco,39826.0,62948.0,27584.0,8018.0,2353.0,140729.0,140729.0,28.30%,44.73%,19.60%,5.70%,1.67%,25426.0
2021,3,Chaco,38258.0,63659.0,27583.0,8018.0,2353.0,139871.0,139871.0,27.35%,45.51%,19.72%,5.73%,1.68%,27584.0
2021,4,Chaco,35548.0,63145.0,34688.0,8005.0,2359.0,143745.0,143745.0,24.73%,43.93%,24.13%,5.57%,1.64%,27583.0
2022,1,Chaco,32391.0,64546.0,36662.0,8164.0,2356.0,144119.0,144119.0,22.48%,44.79%,25.44%,5.66%,1.63%,34688.0
2022,2,Chaco,29552.0,61284.0,42194.0,8178.0,2356.0,143564.0,143564.0,20.58%,42.69%,29.39%,5.70%,1.64%,36662.0
2022,3,Chaco,27164.0,61800.0,44645.0,8178.0,2359.0,144146.0,144146.0,18.84%,42.87%,30.97%,5.67%,1.64%,42194.0
2022,4,Chaco,24582.0,61265.0,47285.0,7957.0,2574.0,143663.0,143663.0,17.11%,42.64%,32.91%,5.54%,1.79%,44645.0
2023,1,Chaco,21243.0,60727.0,49756.0,8142.0,2574.0,142442.0,142442.0,14.91%,42.63%,34.93%,5.72%,1.81%,47285.0
2023,2,Chaco,19115.0,59944.0,51955.0,8267.0,2574.0,141855.0,141855.0,13.48%,42.26%,36.63%,5.83%,1.81%,49756.0
2023,3,Chaco,16420.0,60058.0,54993.0,8267.0,2408.0,142146.0,142146.0,11.55%,42.25%,38.69%,5.82%,1.69%,51955.0
2023,4,Chaco,14000.0,60277.0,62301.0,8404.0,2404.0,147386.0,147386.0,9.50%,40.90%,42.27%,5.70%,1.63%,54993.0
2014,1,Chubut,51066.0,539.0,866.0,10776.0,6974.0,70221.0,70221.0,72.72%,0.77%,1.23%,15.35%,9.93%,
2014,2,Chubut,51070.0,649.0,866.0,10960.0,6974.0,70519.0,70519.0,72.42%,0.92%,1.23%,15.54%,9.89%,866.0
2014,3,Chubut,49219.0,668.0,882.0,11853.0,6515.0,69137.0,69137.0,71.19%,0.97%,1.28%,17.14%,9.42%,866.0
2014,4,Chubut,48539.0,697.0,891.0,12256.0,6159.0,68542.0,68542.0,70.82%,1.02%,1.30%,17.88%,8.99%,882.0
2015,1,Chubut,45645.0,717.0,906.0,12540.0,5465.0,65273.0,65273.0,69.93%,1.10%,1.39%,19.21%,8.37%,891.0
2015,2,Chubut,43949.0,762.0,916.0,13055.0,4803.0,63485.0,63485.0,69.23%,1.20%,1.44%,20.56%,7.57%,906.0
2015,3,Chubut,43964.0,792.0,916.0,13408.0,4803.0,63883.0,63883.0,68.82%,1.24%,1.43%,20.99%,7.52%,916.0
2015,4,Chubut,43968.0,811.0,916.0,13521.0,4803.0,64019.0,64019.0,68.68%,1.27%,1.43%,21.12%,7.50%,916.0
2016,1,Chubut,43967.0,834.0,916.0,13280.0,4803.0,63800.0,63800.0,68.91%,1.31%,1.44%,20.82%,7.53%,916.0
2016,2,Chubut,43977.0,867.0,916.0,13293.0,4803.0,63856.0,63856.0,68.87%,1.36%,1.43%,20.82%,7.52%,916.0
2016,3,Chubut,43987.0,935.0,916.0,13364.0,4750.0,63952.0,63952.0,68.78%,1.46%,1.43%,20.90%,7.43%,916.0
2016,4,Chubut,43994.0,955.0,916.0,13107.0,4793.0,63765.0,63765.0,68.99%,1.50%,1.44%,20.56%,7.52%,916.0
2017,1,Chubut,43994.0,999.0,916.0,13194.0,4793.0,63896.0,63896.0,68.85%,1.56%,1.43%,20.65%,7.50%,916.0
2017,2,Chubut,43994.0,1067.0,916.0,13194.0,4804.0,63975.0,63975.0,68.77%,1.67%,1.43%,20.62%,7.51%,916.0
2017,3,Chubut,56359.0,5645.0,1217.0,13503.0,6820.0,83544.0,83544.0,67.46%,6.76%,1.46%,16.16%,8.16%,916.0
2017,4,Chubut,56378.0,15097.0,1187.0,14070.0,6708.0,93440.0,93440.0,60.34%,16.16%,1.27%,15.06%,7.18%,1217.0
2018,1,Chubut,56375.0,19591.0,1194.0,14070.0,6729.0,97959.0,97959.0,57.55%,20.00%,1.22%,14.36%,6.87%,1187.0
2018,2,Chubut,58935.0,19591.0,1239.0,14070.0,6729.0,100564.0,100564.0,58.60%,19.48%,1.23%,13.99%,6.69%,1194.0
2018,3,Chubut,58887.0,23065.0,1239.0,13817.0,6728.0,103736.0,103736.0,56.77%,22.23%,1.19%,13.32%,6.49%,1239.0
